"","ncessch","year","math_test_pct_prof_midpt","title_i_eligible","teachers_fte_crdc","stud_enrollment","student_teacher_ratio"
"1","090000201136",2011,57,1,75,755,10.0666666666667
"2","090000201136",2015,2.5,1,61,768,12.5901639344262
"3","090000201137",2011,67,1,76,874,11.5
"4","090000201137",2015,12,1,66,784,11.8787878787879
"5","090000201138",2011,62,1,64,618,9.65625
"6","090000201138",2015,12,1,52,636,12.2307692307692
"7","090000201139",2011,67,1,62,569,9.17741935483871
"8","090000201139",2015,17,1,55,505,9.18181818181818
"9","090000201140",2011,32,1,58,521,8.98275862068965
"10","090000201140",2015,2.5,1,53,551,10.3962264150943
"11","090000201141",2011,72,0,47,546,11.6170212765957
"12","090000201141",2015,7.5,0,45,573,12.7333333333333
"13","090000201142",2011,87,0,69,772,11.1884057971014
"14","090000201142",2015,17,0,64,760,11.875
"15","090000201143",2011,92,0,50,540,10.8
"16","090000201143",2015,12,0,51,623,12.2156862745098
"17","090000201144",2011,82,0,59,638,10.8135593220339
"18","090000201144",2015,17,0,55,640,11.6363636363636
"19","090000201145",2011,82,0,55,673,12.2363636363636
"20","090000201145",2015,17,0,52,653,12.5576923076923
"21","090000201147",2011,92,0,59,656,11.1186440677966
"22","090000201147",2015,22,0,55,657,11.9454545454545
"23","090000201148",2011,87,0,61,669,10.9672131147541
"24","090000201148",2015,22,0,58,657,11.3275862068966
"25","090000201149",2011,92,0,68,885,13.0147058823529
"26","090000201149",2015,17,0,62,811,13.0806451612903
"27","090000201150",2011,77,0,57,607,10.6491228070175
"28","090000201150",2015,12,0,50,588,11.76
"29","090000201151",2011,92,0,65,761,11.7076923076923
"30","090000201151",2015,17,0,56,758,13.5357142857143
"31","090000201152",2011,87,0,50,572,11.44
"32","090000201152",2015,27,0,47,496,10.5531914893617
"33","090000400479",2013,75,0,17,48,2.82352941176471
"34","090000401360",2011,24.5,0,30,95,3.16666666666667
"35","090000401360",2012,24.5,0,34.5,87,2.52173913043478
"36","090000401360",2013,15,0,39,115,2.94871794871795
"37","090000401360",2014,10,0,29,100,3.44827586206897
"38","090000501215",2011,82,1,105,1226,11.6761904761905
"39","090000501215",2012,87,1,107,1223,11.4299065420561
"40","090000501215",2014,44.5,1,108,1152,10.6666666666667
"41","090000501215",2015,57,1,107,1153,10.7757009345794
"42","090000501215",2016,62,1,106.5,1137,10.6760563380282
"43","090000501215",2017,57,1,106,1132,10.6792452830189
"44","090001400807",2011,54.5,1,16,165,10.3125
"45","090001400807",2015,5,1,19,186,9.78947368421053
"46","090001400807",2016,24.5,1,19.5,200,10.2564102564103
"47","090001400807",2017,24.5,1,20,202,10.1
"48","090001500809",2011,64.5,1,18,177,9.83333333333333
"49","090001500809",2012,54.5,1,17,176,10.3529411764706
"50","090001500809",2013,44.5,1,16,177,11.0625
"51","090001500809",2014,5,1,16.5,175,10.6060606060606
"52","090001500809",2015,15,1,17,179,10.5294117647059
"53","090001500809",2016,15,1,18.5,181,9.78378378378378
"54","090001500809",2017,15,1,20,179,8.95
"55","090001800834",2011,49.5,1,8,74,9.25
"56","090001800834",2012,49.5,1,9,73,8.11111111111111
"57","090001800834",2013,49.5,1,10,83,8.3
"58","090001800834",2014,10,1,10.5,88,8.38095238095238
"59","090001800834",2015,10,1,11,92,8.36363636363636
"60","090001800834",2016,10,1,11.5,92,8
"61","090001800834",2017,10,1,12,96,8
"62","090003101405",2017,5,1,14,159,11.3571428571429
"63","090006000002",2011,57,0,50,695,13.9
"64","090006000002",2012,57,0,49,631,12.8775510204082
"65","090006010002",2015,22,0,49,597,12.1836734693878
"66","090006010002",2016,17,0,49,616,12.5714285714286
"67","090006010002",2017,22,1,49,567,11.5714285714286
"68","090012000011",2011,97.5,0,88,1114,12.6590909090909
"69","090012000011",2012,97.5,1,86,1083,12.593023255814
"70","090012000011",2014,62,1,84.5,1051,12.4378698224852
"71","090012000011",2015,77,1,85,1038,12.2117647058824
"72","090012000011",2016,77,1,82.5,1024,12.4121212121212
"73","090012000011",2017,77,1,80,1011,12.6375
"74","090021000016",2011,92,0,86,976,11.3488372093023
"75","090021000016",2012,87,1,86,962,11.1860465116279
"76","090021000016",2014,37,1,86,918,10.6744186046512
"77","090021000016",2015,47,1,86,953,11.0813953488372
"78","090021000016",2016,47,1,84.5,891,10.5443786982249
"79","090021000016",2017,57,1,83,904,10.8915662650602
"80","090021801785",2015,24.5,1,10,143,14.3
"81","090027000024",2011,87,1,84,949,11.297619047619
"82","090027000024",2012,82,1,84,959,11.4166666666667
"83","090027000024",2014,37,1,85,889,10.4588235294118
"84","090027000024",2015,57,1,86,897,10.4302325581395
"85","090027000024",2016,47,1,83,871,10.4939759036145
"86","090027000024",2017,42,1,80,896,11.2
"87","090033000029",2011,52,0,62,603,9.7258064516129
"88","090033000029",2012,62,0,61.5,541,8.79674796747967
"89","090033000029",2013,62,0,61,555,9.0983606557377
"90","090033000029",2014,27,0,57.5,538,9.35652173913043
"91","090033000029",2015,17,0,54,516,9.55555555555556
"92","090033000029",2016,17,0,53,534,10.0754716981132
"93","090033000029",2017,22,1,52,520,10
"94","090033001423",2011,69.5,0,9,105,11.6666666666667
"95","090033001615",2017,10,1,24,116,4.83333333333333
"96","090036000037",2011,92,0,32,343,10.71875
"97","090036000037",2015,47,1,32,307,9.59375
"98","090036000037",2016,47,1,32,281,8.78125
"99","090036000037",2017,52,1,32,275,8.59375
"100","090042000039",2011,82,0,97,1064,10.9690721649485
"101","090042000039",2012,82,0,101.5,1049,10.3349753694581
"102","090042000039",2014,22,0,97.5,961,9.85641025641026
"103","090042000039",2015,37,0,89,914,10.2696629213483
"104","090042000039",2016,47,0,84.5,888,10.508875739645
"105","090042000039",2017,42,1,80,852,10.65
"106","090045000050",2011,22,0,80,1073,13.4125
"107","090045000050",2012,22,0,47.5,1178,24.8
"108","090045000050",2013,24.5,0,15,1120,74.6666666666667
"109","090045000050",2014,2.5,0,42.5,1005,23.6470588235294
"110","090045000050",2015,2.5,0,70,951,13.5857142857143
"111","090045000050",2016,2.5,0,70.5,961,13.6312056737589
"112","090045000050",2017,2.5,1,71,970,13.6619718309859
"113","090045000056",2011,45,0,129,2186,16.9457364341085
"114","090045000056",2012,44,0,71.5,2140,29.9300699300699
"115","090045000056",2013,24.5,0,14,1838,131.285714285714
"116","090045000056",2014,9,0,56.5,1672,29.5929203539823
"117","090045000056",2015,12,0,99,1517,15.3232323232323
"118","090045000056",2016,18,0,99.5,1515,15.2261306532663
"119","090045000056",2017,14,1,100,1612,16.12
"120","090045000067",2011,27,0,104,1315,12.6442307692308
"121","090045000067",2012,32,0,58.5,1297,22.1709401709402
"122","090045000067",2014,2.5,0,41,1134,27.6585365853659
"123","090045000067",2015,2.5,0,69,1060,15.3623188405797
"124","090045000067",2016,2.5,0,72,973,13.5138888888889
"125","090045000067",2017,2.5,1,75,967,12.8933333333333
"126","090045001631",2016,2.5,0,21,329,15.6666666666667
"127","090045001631",2017,5,0,22,301,13.6818181818182
"128","090045001633",2015,17,0,26,492,18.9230769230769
"129","090045001633",2016,32,0,28,502,17.9285714285714
"130","090045001633",2017,27,0,30,475,15.8333333333333
"131","090045001636",2015,12,0,28,489,17.4642857142857
"132","090045001636",2016,22,0,28.5,491,17.2280701754386
"133","090045001636",2017,17,0,29,471,16.2413793103448
"134","090045001639",2015,22,0,30,494,16.4666666666667
"135","090045001639",2016,47,0,29.5,499,16.9152542372881
"136","090045001639",2017,42,0,29,475,16.3793103448276
"137","090051000092",2011,87,0,90,1317,14.6333333333333
"138","090051000092",2012,82,0,87.5,1262,14.4228571428571
"139","090051000092",2014,17,0,86.5,1180,13.6416184971098
"140","090051000092",2015,37,0,88,1167,13.2613636363636
"141","090051000092",2016,27,0,89,1147,12.8876404494382
"142","090051000092",2017,37,0,90,1125,12.5
"143","090051000093",2011,86,0,89,1308,14.6966292134831
"144","090051000093",2012,77,0,86,1305,15.1744186046512
"145","090051000093",2014,18,0,83.5,1247,14.9341317365269
"146","090051000093",2015,32,0,84,1221,14.5357142857143
"147","090051000093",2016,37,0,87,1138,13.0804597701149
"148","090051000093",2017,32,0,90,1116,12.4
"149","090054000109",2011,97.5,0,74,966,13.0540540540541
"150","090054000109",2012,92,0,77.5,918,11.8451612903226
"151","090054000109",2014,42,0,74.5,895,12.0134228187919
"152","090054000109",2015,57,0,68,880,12.9411764705882
"153","090054000109",2016,62,0,71,856,12.056338028169
"154","090054000109",2017,57,0,74,862,11.6486486486486
"155","090069000118",2011,97.5,0,46,522,11.3478260869565
"156","090069000118",2012,97.5,0,44.5,511,11.4831460674157
"157","090069000118",2014,52,0,41.5,485,11.6867469879518
"158","090069000118",2015,57,0,40,488,12.2
"159","090069000118",2016,67,0,38.5,496,12.8831168831169
"160","090069000118",2017,62,0,37,498,13.4594594594595
"161","090070000880",2017,27,1,70,344,4.91428571428571
"162","090070001403",2011,52,1,26,246,9.46153846153846
"163","090070001497",2011,72,1,27,400,14.8148148148148
"164","090070001497",2012,82,1,30,423,14.1
"165","090070001497",2014,12,1,31,457,14.741935483871
"166","090070001497",2015,22,1,29,440,15.1724137931034
"167","090070001497",2016,12,1,30.5,469,15.3770491803279
"168","090070001497",2017,22,1,32,446,13.9375
"169","090070001513",2017,57,1,80,426,5.325
"170","090070001532",2016,2.5,1,53,340,6.41509433962264
"171","090070001532",2017,15,1,55,311,5.65454545454545
"172","090070001592",2017,22,1,82,570,6.95121951219512
"173","090070001614",2015,22,1,40,399,9.975
"174","090075000123",2011,92,0,111,1549,13.954954954955
"175","090075000123",2015,63,0,120,1481,12.3416666666667
"176","090075000123",2016,65,0,114.5,1445,12.6200873362445
"177","090075000123",2017,59,0,109,1401,12.8532110091743
"178","090081000134",2011,87,0,49,565,11.530612244898
"179","090081000134",2012,82,0,52.5,579,11.0285714285714
"180","090081000134",2014,22,0,56.5,550,9.73451327433628
"181","090081000134",2015,32,0,57,533,9.35087719298246
"182","090081000134",2016,42,0,53.5,559,10.4485981308411
"183","090081000134",2017,47,0,50,571,11.42
"184","090084000135",2011,87,0,76,983,12.9342105263158
"185","090084000135",2012,87,0,78,937,12.0128205128205
"186","090084000135",2014,32,0,75.5,886,11.7350993377483
"187","090084000135",2015,42,0,71,835,11.7605633802817
"188","090084000135",2016,57,0,70,808,11.5428571428571
"189","090084000135",2017,47,0,69,796,11.536231884058
"190","090096000143",2011,82,0,46,524,11.3913043478261
"191","090096000143",2012,87,0,46.5,511,10.989247311828
"192","090096000143",2014,27,0,48.5,490,10.1030927835052
"193","090096000143",2015,47,0,50,465,9.3
"194","090096000143",2016,57,0,46.5,465,10
"195","090096000143",2017,57,0,43,450,10.4651162790698
"196","090099000145",2011,92,1,49,546,11.1428571428571
"197","090099000145",2015,47,1,47,578,12.2978723404255
"198","090099000145",2016,52,1,49.5,563,11.3737373737374
"199","090099000145",2017,42,1,52,562,10.8076923076923
"200","090102000150",2011,61,0,173,2889,16.6994219653179
"201","090102000150",2012,66,0,182,2887,15.8626373626374
"202","090102000150",2013,57,0,191,2878,15.0680628272251
"203","090102000150",2014,22,0,185.5,2885,15.5525606469003
"204","090102000150",2015,25,0,180,2941,16.3388888888889
"205","090102000150",2016,25,0,185,3041,16.4378378378378
"206","090102000150",2017,22,0,190,3115,16.3947368421053
"207","090102001129",2011,24.5,0,8,92,11.5
"208","090102001129",2012,49.5,0,9,78,8.66666666666667
"209","090102001129",2013,10,0,10,83,8.3
"210","090102001129",2014,24.5,1,10,98,9.8
"211","090102001129",2015,10,1,10,94,9.4
"212","090102001129",2016,10,1,11,83,7.54545454545455
"213","090102001129",2017,10,1,12,88,7.33333333333333
"214","090105000164",2011,96,0,117,1315,11.2393162393162
"215","090105000164",2012,97,0,115,1329,11.5565217391304
"216","090105000164",2014,57,1,107,1365,12.7570093457944
"217","090105000164",2015,84,1,101,1356,13.4257425742574
"218","090105000164",2016,86,1,116.5,1354,11.6223175965665
"219","090105000164",2017,81,1,132,1377,10.4318181818182
"220","090111000175",2011,52,0,28,359,12.8214285714286
"221","090111000175",2012,52,1,31,360,11.6129032258065
"222","090111000175",2014,12,1,34,372,10.9411764705882
"223","090111000175",2015,17,1,34,344,10.1176470588235
"224","090111000175",2016,27,1,32.5,345,10.6153846153846
"225","090111000175",2017,17,1,31,353,11.3870967741935
"226","090117000181",2011,92,0,25,263,10.52
"227","090117000181",2015,42,0,29,264,9.10344827586207
"228","090117000181",2016,64.5,0,32,247,7.71875
"229","090117000181",2017,52,0,35,253,7.22857142857143
"230","090120000185",2011,82,0,40,404,10.1
"231","090120000185",2012,82,0,38.5,399,10.3636363636364
"232","090120000185",2014,27,0,37.5,351,9.36
"233","090120000185",2015,27,0,38,321,8.44736842105263
"234","090120000185",2016,27,0,37,334,9.02702702702703
"235","090120000185",2017,42,0,36,344,9.55555555555556
"236","090123000187",2011,87,1,47,550,11.7021276595745
"237","090123000187",2015,47,0,45,515,11.4444444444444
"238","090123000187",2016,42,1,47,488,10.3829787234043
"239","090123000187",2017,42,1,49,470,9.59183673469388
"240","090126000200",2011,54,0,125,1734,13.872
"241","090126000200",2012,49,0,131,1641,12.5267175572519
"242","090126000200",2013,24.5,0,137,1682,12.2773722627737
"243","090126000200",2014,17,0,138,1674,12.1304347826087
"244","090126000200",2015,20,0,139,1649,11.863309352518
"245","090126000200",2016,23,0,139,1629,11.7194244604317
"246","090126000200",2017,16,0,139,1728,12.431654676259
"247","090126001377",2011,5,0,9,151,16.7777777777778
"248","090126001377",2015,10,0,10,110,11
